Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
461,1.0,0.2647,"ram, part, question, start, mega, advice, cab, manual, front, regard",Got a question
462,0.0,0.2677,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Which truck is the HOLY GRAIL of Cummins diesels?
463,1.0,0.2736,"ram, part, question, start, mega, advice, cab, manual, front, regard",Weird noise advice
464,0.0,0.25,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",SRW to DRW
465,1.0,0.2788,"ram, part, question, start, mega, advice, cab, manual, front, regard",Goodbye Duramax
466,3.0,0.2953,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",Can’t bleed air out of coolant system
467,0.0,0.2736,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",2018 RAM 3500 6.7 68RFE tuning
468,1.0,0.3,"ram, part, question, start, mega, advice, cab, manual, front, regard",White smoke on start up but clears up after a couple seconds
469,0.0,0.2647,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Compounds?
470,0.0,0.2677,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",2005 Ram 3500 Cummins Rough Idle (solved?)
471,0.0,0.2647,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",New to dodge..
472,2.0,0.2736,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",3rd gen 5.9 6spd with 270k miles?
473,0.0,0.3207,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",swapping rolling cummins chassis and engine and tranny to ram 1500
474,1.0,0.2685,"ram, part, question, start, mega, advice, cab, manual, front, regard",Quality Cummins parts at discount
475,0.0,0.25,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",5.9 12v
476,0.0,0.25,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",5
477,2.0,0.2568,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",Looking to buy a late model 5.9 24v
478,2.0,0.2724,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",24V 2nd gen towing
479,0.0,0.2596,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",P Pump conversion 24v
480,0.0,0.2746,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Cummins swap
481,1.0,0.287,"ram, part, question, start, mega, advice, cab, manual, front, regard",Need recommendations in regards to a full delete
482,3.0,0.261,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",Cummins V903 Service Manual
483,1.0,0.2788,"ram, part, question, start, mega, advice, cab, manual, front, regard",2003 5.9 injector source?
484,1.0,0.3421,"ram, part, question, start, mega, advice, cab, manual, front, regard",Front Drive shaft 2010 Ram 2500 Mega Cab 4wd question
485,0.0,0.25,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",What would you do...
486,0.0,0.2618,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Need a new engine for my 2002 cummins.
487,2.0,0.3689,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run","I have a 2018 6.7 cummins and I’m looking into straight piping the truck. Any suggestions on a 4 or 5 inch exhaust? I’ve been told a 4 inch sounds better, but I am unsure on which to buy."
488,0.0,0.2596,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",2010 6.7L power surge
489,1.0,0.2685,"ram, part, question, start, mega, advice, cab, manual, front, regard",Million mile 4bt @ 300 hp (flywheel) Build Advice
490,0.0,0.2818,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Maintenance Cost on a Preowned 14 2500 (new to the diesel world)
491,3.0,0.3109,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",Has anyone ever done a conversion from diesel to methanol race fuel with a 5.9l 12 valve cummins?
